Sample	Population	Latitude	Longitude	Annual mean temperature	Mean diurnal range	Isothermality	Temperature seasonality	Max temperature of warmest month	Min temperature of coldest month	Temperature annual range	Mean temperature of wettest quarter	Mean temperature of driest quarter	Mean temperature of warmest quarter	Mean temperature of coldest quarter	Annual precipitation	Precipitation of wettest month	Precipitation of driest month	Precipitation seasonality	Precipitation of wettest quarter	Precipitation of driest quarter	Precipitation of warmest quarter	Precipitation of coldest quarter	UVB index	PET (June)
6017	SWE	62.9159	18.416	3.746419347686869	7.4711639463805755	25.81146618194573	771.56049916992	19.54620817626958	-9.3987998510741	28.94500826446526	4.1169174264146164	2.1527173696900115	13.845706939544755	-5.129663891906609	693.8991999999885	85.77455999999904	34.23663999999951	28.819002790527634	235.838399999997	118.57855999999774	189.94511999999685	149.53711999999692	1170.2286376953125	10669
6024	SWE	55.7676	13.388	7.7271604285049085	6.774970089416504	28.826805042266784	640.2418839404305	21.038800148010264	-2.4635280347824455	23.502328008880664	8.364235893402029	2.6036906547355403	15.854466744155873	0.3029146311199262	714.252400000001	73.24728000000025	40.247280000000245	20.79318517059338	217.35384000000062	133.1432800000011	187.48472000000027	172.94256000000004	1357.94580078125	11606
6025	SWE	62.6437	17.733900000000002	3.2744175675962732	7.990921531860286	26.451969369995044	805.4946894999957	19.576799804687305	-10.632140997558624	30.208941108764485	7.449293794192521	-2.6330666405183387	13.665223531921189	-6.277333434387282	711.1821440000292	79.71059200000353	36.8000000000019	25.848885394165084	229.38777600000992	126.51059200000543	203.01977600000805	147.7425920000074	1148.4652099609375	10733
6184	SWE	62.889199999999995	18.452199999999998	4.012500286102295	7.291666507720947	25.584794998168945	757.4422607421875	19.5	-9	28.5	4.483333587646484	2.2333333492279053	13.966667175292969	-4.633333206176758	678	84	34	28.897361755371094	232	116	184	146	1170.2286376953125	10863
6209	SWE	62.883599999999994	18.1842	3.595011213409382	7.974844337524383	26.535702000793414	791.8448812441392	20.013600051879788	-10.039600151062041	30.05320020294183	3.878000288600896	0.9294644680162918	13.923844493743832	-5.64684436504366	702.1932960000071	86.5813280000007	37.67867200000056	28.231462955230512	237.954656000002	123.72800000000191	191.95198400000152	148.5586560000017	1156.9451904296875	11050
6210	SWE	62.8839	18.1836	3.5870198071517176	7.97618475140379	26.536985791137663	791.9939455546872	20.010000038146877	-10.046800178527896	30.05680021667477	3.8657578831099606	1.1654036783907733	13.919363659118577	-5.655805956497257	702.9592320000098	86.67017600000105	37.697824000000544	28.240649635742074	238.27635200000333	123.80000000000194	192.0745280000019	148.80835200000269	1156.9451904296875	11050
6214	SWE	63.0175	18.3281	3.5908666687015995	7.9769331474305005	26.69010333251966	786.3032309570358	19.96160009765673	-9.925599716186204	29.887199813842937	3.8282665920262375	2.1992000179295044	13.863733016968228	-5.527733337401997	678.4799999999439	82.51199999999358	34.255999999996796	29.220607208252442	227.53599999998076	113.89599999998877	193.02399999998718	144.02399999998718	1129.788330078125	11084
6216	SWE	63.0167	18.3283	3.5972666683201204	7.978133140564043	26.69197984313977	786.3717680664107	19.968800079346174	-9.920799697875664	29.889599777221836	3.8354665851597725	2.2056000175480257	13.870533004761187	-5.522533336639064	677.6399999999451	82.41599999999372	34.207999999996865	29.227958709717278	227.24799999998118	113.72799999998902	192.83199999998746	143.83199999998743	1129.788330078125	11084
6217	SWE	63.0169	18.3283	3.5972666683201204	7.978133140564043	26.69197984313977	786.3717680664107	19.968800079346174	-9.920799697875664	29.889599777221836	3.8354665851597725	2.2056000175480257	13.870533004761187	-5.522533336639064	677.6399999999451	82.41599999999372	34.207999999996865	29.227958709717278	227.24799999998118	113.72799999998902	192.83199999998746	143.83199999998743	1129.788330078125	11084
6218	SWE	63.017199999999995	18.3283	3.5972666683201204	7.978133140564043	26.69197984313977	786.3717680664107	19.968800079346174	-9.920799697875664	29.889599777221836	3.8354665851597725	2.2056000175480257	13.870533004761187	-5.522533336639064	677.6399999999451	82.41599999999372	34.207999999996865	29.227958709717278	227.24799999998118	113.72799999998902	192.83199999998746	143.83199999998743	1129.788330078125	11084
6961	ESP	38.3333	-3.5333300000000003	14.74729735515136	13.002668054025223	39.16341313645013	716.5544070269522	34.22597927496332	1.0251798460033403	33.200799819177185	10.475366595938103	24.004709275689674	24.163043107409642	6.7628298611328095	429.49800959999897	61	5	49.396174040442006	162.00040319999974	31.252201599999722	35	151.24860159999974	3043.140625	17715
6970	ESP	41.7194	2.93056	15.0625	9.091667175292969	38.3614616394043	533.6585693359375	27.600000381469727	3.9000000953674316	23.700000762939453	16.133333206176758	21.80000114440918	21.96666717529297	9.066666603088379	642	84	23	27.810562133789063	212	116	142	150	2636.0107421875	14701
6971	ESP	41.74570000000001	2.9569599999999996	14.696686518036104	8.960673699566524	38.02833753759762	533.5767464476517	27.236183921337926	3.672918400000347	23.563265521337577	15.755176205896221	21.454192644214018	21.63725845537125	8.7552680444949	664.2950591999781	85.3083263999986	24.654163199999306	27.091187102258893	218.23330559999445	122.92497919999582	148.27081599999653	153.23330559999442	2636.0107421875	14808
7327	ESP	41.783300000000004	3.0333300000000003	15.16191726781613	9.372768380719005	38.37476722406005	549.977041000391	28.10000038146973	3.6755797927169493	24.42442035195316	16.171336787597618	22.14194059615476	22.24200673530271	8.942246682003754	598.4696032000014	78.99640000000004	21.496000000000294	28.514387406945623	198.99280000000007	112.2362016000009	137.2401984000006	133.49640320000003	2632.710205078125	15168
7328	ESP	41.81179999999999	3.0619300000000003	15.246612159548983	9.179936475412026	38.077757205072004	545.8123041120128	28.007825469851788	3.899425534545509	24.10840041351329	16.265239154132075	19.8862702706208	22.282521317089877	9.083565806520111	573.3420000000003	77.92174559999899	20	29.715696906213406	193.2150544000011	106.99014559999904	132.14665440000104	127.14665440000104	2632.710205078125	14983
8264	ESP	41.6833	2.8	14.982266696929909	9.718733573913548	39.18905070495596	551.0378911132811	28.07480028533932	3.2751999759673764	24.799600669860837	15.999933097839339	21.962466766357394	22.104066505432105	8.76666665267942	699.2679999999981	88.25199999999968	27.251999999999686	25.777087532043545	227.50399999999968	128.50399999999937	152.75199999999967	165.752	2636.0107421875	14253
8357	ESP	41.5	2.25	14.872916698455809	9.366666793823246	37.65505695343016	564.83782958984375	28.324999809265158	3.449999988079071	24.87500000000002	15.854166746139523	22.054166793823246	22.258333206176758	8.57083344459534	670.0000000000034	81.25000000000021	30	25.666811943054213	223.00000000000128	137.00000000000043	167.50000000000043	144.75000000000063	2667.54248046875	13854
9514	ESP	39.15	-4.54	14.376250219344922	11.565000152587771	37.50468749999975	678.7076812744148	32.2050001144407	1.3699999868868735	30.835000324249158	10.382499790191487	23.115000247955162	23.204166126251067	6.690833187103104	453.20000000000834	62.80000000000121	6.999999999999998	45.963544082641775	167.55000000000288	38.65000000000027	42.80000000000037	153.75000000000335	2927.93505859375	16463
